seed,step,dataset,muh_fun,method,coverage,width,muh_test,y_test
16,2,Florescent,ridge,full_mfcs,1.0,1.28,0.18539103673311036,0.20187502168821803
16,3,Florescent,ridge,full_ex,1.0,0.64,0.20187249719579872,0.13220662364461094
16,3,Florescent,ridge,full_1fcs,1.0,0.64,0.20187249719579872,0.13220662364461094
16,3,Florescent,ridge,full_mfcs,1.0,0.64,0.20187249719579872,0.13220662364461094
16,4,Florescent,ridge,full_ex,1.0,0.58,0.167042227923686,0.1556882573235432
16,4,Florescent,ridge,full_1fcs,1.0,0.62,0.167042227923686,0.1556882573235432
16,4,Florescent,ridge,full_mfcs,1.0,0.62,0.167042227923686,0.1556882573235432
16,5,Florescent,ridge,full_ex,1.0,0.58,0.1632577642816978,0.23174716658879965
16,5,Florescent,ridge,full_1fcs,1.0,0.62,0.1632577642816978,0.23174716658879965
16,5,Florescent,ridge,full_mfcs,1.0,0.62,0.1632577642816978,0.23174716658879965
17,1,Florescent,ridge,full_ex,1.0,0.52,0.143639405827136,0.08494850018984032
17,1,Florescent,ridge,full_1fcs,1.0,1.1400000000000001,0.143639405827136,0.08494850018984032
17,1,Florescent,ridge,full_mfcs,1.0,1.1400000000000001,0.143639405827136,0.08494850018984032
17,2,Florescent,ridge,full_ex,1.0,0.5,0.18847722588007615,0.14899964168385804
17,2,Florescent,ridge,full_1fcs,1.0,0.72,0.18847722588007615,0.14899964168385804
17,2,Florescent,ridge,full_mfcs,1.0,0.96,0.18847722588007615,0.14899964168385804
17,3,Florescent,ridge,full_ex,1.0,0.48,0.1687397998796222,0.21093027232947448
17,3,Florescent,ridge,full_1fcs,1.0,0.9400000000000001,0.1687397998796222,0.21093027232947448
17,3,Florescent,ridge,full_mfcs,1.0,0.9400000000000001,0.1687397998796222,0.21093027232947448
17,4,Florescent,ridge,full_ex,1.0,0.5,0.18280264180369912,0.18297768023476052
17,4,Florescent,ridge,full_1fcs,1.0,0.96,0.18280264180369912,0.18297768023476052
17,4,Florescent,ridge,full_mfcs,1.0,0.96,0.18280264180369912,0.18297768023476052
17,5,Florescent,ridge,full_ex,1.0,0.5,0.18284639989660145,0.21634013133607877
17,5,Florescent,ridge,full_1fcs,1.0,0.96,0.18284639989660145,0.21634013133607877
17,5,Florescent,ridge,full_mfcs,1.0,0.96,0.18284639989660145,0.21634013133607877
18,1,Florescent,ridge,full_ex,1.0,0.9,0.41189767058802584,0.45556974625582897
18,1,Florescent,ridge,full_1fcs,1.0,1.04,0.41189767058802584,0.45556974625582897
18,1,Florescent,ridge,full_mfcs,1.0,1.04,0.41189767058802584,0.45556974625582897
18,2,Florescent,ridge,full_ex,1.0,0.78,0.36990696872527756,0.307513771961533
18,2,Florescent,ridge,full_1fcs,1.0,0.76,0.36990696872527756,0.307513771961533
18,2,Florescent,ridge,full_mfcs,1.0,0.76,0.36990696872527756,0.307513771961533
18,3,Florescent,ridge,full_ex,1.0,0.74,0.30755053907303864,0.3162300938259198
18,3,Florescent,ridge,full_1fcs,1.0,0.62,0.30755053907303864,0.3162300938259198
18,3,Florescent,ridge,full_mfcs,1.0,0.7000000000000001,0.30755053907303864,0.3162300938259198
18,4,Florescent,ridge,full_ex,1.0,0.78,0.3118890373994909,0.3127676895354046
18,4,Florescent,ridge,full_1fcs,1.0,0.7000000000000001,0.3118890373994909,0.3127676895354046
18,4,Florescent,ridge,full_mfcs,1.0,0.7000000000000001,0.3118890373994909,0.3127676895354046
18,5,Florescent,ridge,full_ex,1.0,0.78,0.3121818638917285,0.3183333000424071
18,5,Florescent,ridge,full_1fcs,1.0,0.7000000000000001,0.3121818638917285,0.3183333000424071
18,5,Florescent,ridge,full_mfcs,1.0,0.7000000000000001,0.3121818638917285,0.3183333000424071
19,1,Florescent,ridge,full_ex,1.0,0.58,0.2800684822991996,0.050351385823792394
19,1,Florescent,ridge,full_1fcs,1.0,0.66,0.2800684822991996,0.050351385823792394
19,1,Florescent,ridge,full_mfcs,1.0,0.66,0.2800684822991996,0.050351385823792394
19,2,Florescent,ridge,full_ex,1.0,0.56,0.005493911035780261,0.0689749529195306
19,2,Florescent,ridge,full_1fcs,1.0,0.58,0.005493911035780261,0.0689749529195306
19,2,Florescent,ridge,full_mfcs,1.0,1.1400000000000001,0.005493911035780261,0.0689749529195306
19,3,Florescent,ridge,full_ex,1.0,0.6,0.06895689706818194,0.052332322418670474
19,3,Florescent,ridge,full_1fcs,1.0,0.6,0.06895689706818194,0.052332322418670474
19,3,Florescent,ridge,full_mfcs,1.0,0.6,0.06895689706818194,0.052332322418670474
19,4,Florescent,ridge,full_ex,1.0,0.58,0.06064579204050129,0.04638331169175362
19,4,Florescent,ridge,full_1fcs,1.0,0.58,0.06064579204050129,0.04638331169175362
19,4,Florescent,ridge,full_mfcs,1.0,0.58,0.06064579204050129,0.04638331169175362
19,5,Florescent,ridge,full_ex,1.0,0.56,0.05589208274989665,0.07998723517658349
19,5,Florescent,ridge,full_1fcs,1.0,0.56,0.05589208274989665,0.07998723517658349
19,5,Florescent,ridge,full_mfcs,1.0,0.56,0.05589208274989665,0.07998723517658349
20,1,Florescent,ridge,full_ex,1.0,0.66,0.38489935180565404,0.6410178223338023
